City,Country,Latitude,Longitude,Maximum_Temp,Cloudiness,Pressure,Windspeed,Humidity,Date
Tiksi,RU,71.64,128.87,-6.04,56,1019.77,1.87,86,2019-04-06 03:09:50
New Norfolk,AU,-42.78,147.06,19.0,40,1014.0,7.7,39,2019-04-06 03:09:15
Dikson,RU,73.51,80.55,-6.49,76,1000.77,5.87,100,2019-04-06 03:09:51
Diego de Almagro,CL,-26.39,-70.05,14.12,0,1015.65,1.07,85,2019-04-06 03:09:52
Laguna,MX,27.52,-110.01,23.0,5,1012.0,1.5,28,2019-04-06 01:42:00
Jinxiang,CN,35.07,116.31,29.44,0,995.0,5.82,25,2019-04-06 02:35:35
Verkhniy Lomov,RU,53.47,43.56,-0.34,76,1024.37,3.92,96,2019-04-06 03:09:52
Abu Dhabi,AE,24.47,54.37,26.0,0,1012.0,4.1,61,2019-04-06 02:00:00
Villa Rica,PE,-10.74,-75.27,20.87,88,1010.69,0.87,92,2019-04-06 03:09:53
Provideniya,RU,64.42,-173.23,-3.74,0,1008.01,1.02,100,2019-04-06 03:09:03
Gallup,US,35.53,-108.74,12.0,75,1016.0,6.7,27,2019-04-06 01:53:00
Albany,US,42.65,-73.75,1.67,90,1024.0,2.77,98,2019-04-06 03:06:03
Borba,PT,38.81,-7.46,7.17,64,1006.69,5.72,95,2019-04-06 03:09:54
Binzhou,CN,37.38,117.96,24.12,0,1005.01,3.87,40,2019-04-06 03:09:54
Sorland,NO,67.67,12.69,3.42,0,1022.17,0.72,100,2019-04-06 03:09:54
Lebu,ET,8.96,38.73,15.0,0,1025.0,3.6,77,2019-04-06 02:00:00
Punta Arenas,CL,-53.16,-70.91,4.0,40,985.0,11.8,100,2019-04-06 02:52:27
Umba,RU,66.69,34.34,-8.09,8,1030.05,2.12,84,2019-04-06 03:09:55
Puerto El Triunfo,SV,13.27,-88.55,28.0,20,1012.0,2.1,78,2019-04-06 01:50:00
Beloha,MG,-25.17,45.06,21.97,0,1014.73,2.92,75,2019-04-06 03:09:56
Chester,GB,53.19,-2.89,7.22,0,1006.0,6.2,75,2019-04-06 03:09:05
Tautira,PF,-17.73,-149.15,32.0,40,1012.0,3.6,62,2019-04-06 02:52:23
Noumea,NC,-22.28,166.46,28.0,20,1014.0,6.2,45,2019-04-06 02:30:00
Hilo,US,19.71,-155.08,26.0,75,1017.0,5.1,65,2019-04-06 03:09:31
Ushuaia,AR,-54.81,-68.31,4.0,40,976.0,10.8,93,2019-04-06 02:00:00
Chuy,UY,-33.69,-53.46,18.22,44,1019.57,5.67,82,2019-04-06 03:05:31
Pevek,RU,69.7,170.27,-12.99,20,1021.05,4.87,86,2019-04-06 03:08:32
Santa Isabel,CO,4.71,-75.1,23.0,75,1019.0,1.5,100,2019-04-06 02:00:00
Rikitea,PF,-23.12,-134.97,25.27,48,1017.13,6.62,100,2019-04-06 03:05:32
Sao Joao da Barra,BR,-21.64,-41.05,28.02,0,1012.61,11.67,93,2019-04-06 03:10:00
Sobolevo,RU,54.43,31.9,-4.64,0,1025.09,1.27,70,2019-04-06 03:10:01
Kapaa,US,22.08,-159.32,27.0,1,1017.0,3.6,57,2019-04-06 03:03:17
Cape Town,ZA,-33.93,18.42,14.44,0,1017.0,2.1,76,2019-04-06 03:08:10
Novomykolayivka,UA,48.54,32.26,0.27,0,1021.85,2.97,62,2019-04-06 03:10:02
Cherskiy,RU,68.75,161.3,-6.89,0,1020.13,1.22,71,2019-04-06 03:10:02
Avarua,CK,-21.21,-159.78,27.0,0,1014.0,4.1,65,2019-04-06 02:30:00
Bluff,AU,-23.58,149.07,29.52,0,1018.57,4.22,44,2019-04-06 03:10:03
Jamestown,AU,-33.21,138.6,22.62,0,1021.33,1.82,36,2019-04-06 03:10:04
Barrow,AR,-38.31,-60.23,12.57,0,1020.57,5.72,69,2019-04-06 03:10:04
Usvyaty,RU,55.75,30.75,-4.54,0,1026.21,1.57,77,2019-04-06 03:10:05
Haibara,JP,34.53,135.95,19.0,0,1012.0,2.1,59,2019-04-06 03:00:02
Cairns,AU,-16.92,145.77,27.0,75,1015.0,4.6,78,2019-04-06 03:08:19
Upernavik,GL,72.79,-56.15,-9.24,36,1012.01,4.42,100,2019-04-06 03:07:06
Port Alfred,ZA,-33.59,26.89,14.44,80,1022.0,3.42,91,2019-04-06 03:07:30
Nome,US,30.04,-94.42,23.0,90,1015.0,2.1,83,2019-04-06 03:07:21
Eucaliptus,BO,-17.6,-67.51,0.87,0,1015.29,2.12,49,2019-04-06 03:10:06
San Patricio,PY,-26.98,-56.83,18.12,92,1018.17,2.97,84,2019-04-06 03:10:07
Tasiilaq,GL,65.61,-37.64,-1.0,56,1024.0,13.4,58,2019-04-06 01:50:00
Gouyave,GD,12.16,-61.73,24.0,75,1016.0,6.7,88,2019-04-06 02:00:00
Vostok,RU,46.45,135.83,0.62,88,1000.77,1.62,70,2019-04-06 03:10:08
Bredasdorp,ZA,-34.53,20.04,15.56,0,1021.0,1.5,93,2019-04-06 03:02:11
Bodden Town,KY,19.28,-81.25,26.11,20,1016.0,2.1,88,2019-04-06 03:00:04
Ancud,CL,-41.87,-73.83,10.0,90,1021.0,2.1,87,2019-04-06 02:00:00
Hami,CN,42.84,93.51,17.02,0,1011.93,2.97,44,2019-04-06 03:10:09
Kavaratti,IN,10.57,72.64,28.77,0,1013.45,1.97,100,2019-04-06 03:10:10
Guiyang,CN,26.58,106.71,19.0,0,1017.0,3.0,63,2019-04-06 02:00:00
North Bend,US,43.41,-124.22,12.22,1,1013.0,5.1,71,2019-04-06 03:05:22
Kahului,US,20.89,-156.47,29.0,75,1016.0,3.1,48,2019-04-06 03:09:30
Caravelas,BR,-17.73,-39.27,28.02,0,1014.69,6.47,97,2019-04-06 03:06:09
Arraial do Cabo,BR,-22.97,-42.02,26.87,0,1011.33,7.72,84,2019-04-06 03:09:18
Vaini,IN,15.34,74.49,23.27,56,1013.61,1.02,81,2019-04-06 03:06:21
Bismarck,US,46.81,-100.78,4.44,90,1014.0,6.7,100,2019-04-06 03:09:00
Kloulklubed,PW,7.04,134.26,29.0,75,1011.0,4.1,79,2019-04-06 01:50:00
Tuatapere,NZ,-46.13,167.69,14.44,0,1027.0,0.89,50,2019-04-06 02:40:07
Hambantota,LK,6.12,81.12,27.0,0,1012.0,3.1,88,2019-04-06 02:10:00
Mataura,NZ,-46.19,168.86,14.44,0,1027.0,0.89,50,2019-04-06 02:40:07
Gigmoto,PH,13.78,124.39,27.87,20,1013.73,2.42,93,2019-04-06 03:10:13
Lagoa,PT,37.14,-8.45,10.56,40,1009.0,4.1,81,2019-04-06 03:07:11
Piterka,RU,50.68,47.44,6.12,88,1025.25,3.57,96,2019-04-06 03:10:14
Busselton,AU,-33.64,115.35,21.11,0,1015.0,2.92,32,2019-04-06 03:05:09
Bilma,NE,18.69,12.92,19.27,0,1006.21,1.27,26,2019-04-06 03:10:15
Sekoma,BW,-24.51,23.93,14.27,32,1015.17,4.22,95,2019-04-06 03:10:15
Taltal,CL,-25.41,-70.49,11.97,0,1015.05,1.07,94,2019-04-06 03:06:43
Kattivakkam,IN,13.22,80.32,29.0,40,1013.0,3.6,83,2019-04-06 02:33:44
Thinadhoo,MV,0.53,72.93,28.47,0,1012.09,0.87,100,2019-04-06 03:10:16
Bembereke,BJ,10.23,2.66,26.02,12,1006.73,4.22,66,2019-04-06 03:10:16
Chokurdakh,RU,70.62,147.9,-7.24,12,1021.85,2.57,100,2019-04-06 03:07:04
Nikolskoye,RU,59.7,30.79,0.0,0,1027.0,1.0,68,2019-04-06 03:06:03
Bulungu,CD,-4.54,18.6,22.62,0,1008.25,1.17,93,2019-04-06 03:10:17
Khatanga,RU,71.98,102.47,-7.84,8,1004.09,8.22,85,2019-04-06 03:10:18
Nizhniy Tsasuchey,RU,50.52,115.13,2.32,0,1016.01,7.72,41,2019-04-06 03:10:18
Jasper,US,33.83,-87.28,16.67,1,1020.0,1.62,87,2019-04-06 03:07:23
Mudgal,IN,16.02,76.43,27.17,8,1012.93,2.92,57,2019-04-06 03:10:19
Zhanakorgan,KZ,43.91,67.25,8.42,0,1028.01,4.37,73,2019-04-06 03:10:19
Havre-Saint-Pierre,CA,50.23,-63.6,-2.0,20,1017.0,8.2,79,2019-04-06 02:00:00
Karakol,KG,42.49,78.39,0.67,92,1021.21,1.17,96,2019-04-06 03:10:20
Norman Wells,CA,65.28,-126.83,-4.0,5,1012.0,5.1,41,2019-04-06 02:00:00
Eydhafushi,MV,5.1,73.07,29.57,64,1012.45,1.42,99,2019-04-06 03:10:20
Praia,BR,-20.25,-43.81,24.0,75,1018.0,1.5,73,2019-04-06 02:00:00
Talas,TR,38.69,35.55,1.0,0,1016.0,2.6,86,2019-04-06 02:20:00
Chemainus,CA,48.92,-123.72,11.67,75,1005.0,2.1,61,2019-04-06 03:09:30
Marsh Harbour,BS,26.54,-77.06,24.17,92,1021.41,5.67,100,2019-04-06 03:10:22
Alexandria,US,31.31,-92.44,20.0,90,1016.0,2.1,93,2019-04-06 03:05:34
Ternate,PH,14.29,120.72,33.89,20,1014.0,3.1,52,2019-04-06 03:08:05
Talnakh,RU,69.49,88.39,-6.59,76,995.93,6.37,96,2019-04-06 03:10:23
Luderitz,NA,-26.65,15.16,14.37,8,1010.49,6.62,81,2019-04-06 03:10:23
Himi,JP,36.86,136.97,18.33,20,1012.0,1.5,28,2019-04-06 03:06:28
Yellowknife,CA,62.45,-114.38,-8.0,20,1017.0,3.1,57,2019-04-06 02:00:00
Kaitangata,NZ,-46.28,169.85,12.78,0,1027.0,4.47,51,2019-04-06 03:08:29
Bemidji,US,47.48,-94.89,4.44,90,1017.0,2.12,93,2019-04-06 03:05:45
Mar del Plata,AR,-46.43,-67.52,17.17,12,999.57,14.82,53,2019-04-06 03:05:48
Agadir,MA,30.42,-9.58,11.0,20,1014.0,4.1,62,2019-04-06 02:30:00
Mazatlan,MX,23.22,-106.42,23.33,75,1013.0,1.5,73,2019-04-06 03:03:24
Saint-Philippe,CA,45.36,-73.48,1.67,90,1020.0,6.7,93,2019-04-06 03:06:41
Tuktoyaktuk,CA,69.44,-133.03,-17.0,5,1016.0,5.1,77,2019-04-06 02:00:00
Farafangana,MG,-22.82,47.83,25.27,68,1016.61,2.57,100,2019-04-06 03:10:25
Tucuman,PE,-17.17,-70.89,11.57,0,1014.73,1.17,86,2019-04-06 03:10:25
Butaritari,KI,3.07,172.79,27.12,92,1010.01,5.67,100,2019-04-06 03:05:56
Port Elizabeth,US,39.31,-74.98,10.56,90,1024.0,1.5,100,2019-04-06 03:09:36
Cidreira,BR,-30.17,-50.22,20.02,92,1015.97,3.67,92,2019-04-06 03:10:26
Hamilton,BM,32.3,-64.78,19.0,75,1026.0,8.7,63,2019-04-06 03:02:05
Salalah,OM,17.01,54.1,25.0,20,1014.0,1.5,78,2019-04-06 01:50:00
Hasaki,JP,35.73,140.83,22.22,20,1007.0,4.1,25,2019-04-06 02:52:40
Qaanaaq,GL,77.48,-69.36,-20.59,0,1022.45,3.07,67,2019-04-06 03:10:27
Adrar,DZ,27.87,-0.29,15.0,0,1005.0,4.1,54,2019-04-06 02:00:00
Esperance,TT,10.24,-61.45,25.0,20,1015.0,2.97,78,2019-04-06 03:05:23
Kruisfontein,ZA,-34.0,24.73,14.92,24,1022.89,3.72,85,2019-04-06 03:09:55
Mount Isa,AU,-20.73,139.49,31.0,40,1016.0,6.2,38,2019-04-06 02:30:00
Flinders,AU,-34.58,150.85,30.0,8,1017.0,2.6,54,2019-04-06 03:05:14
Banjar,ID,-7.37,108.54,27.77,24,1011.89,1.67,80,2019-04-06 03:10:29
Thompson,CA,55.74,-97.86,-8.0,20,1017.0,1.5,44,2019-04-06 02:00:00
Atuona,PF,-9.8,-139.03,28.27,92,1010.85,6.27,99,2019-04-06 03:10:18
Neiafu,TO,-18.65,-173.98,30.0,20,1011.0,3.6,74,2019-04-06 02:00:00
Torbay,CA,47.66,-52.73,-2.78,40,1013.0,10.3,68,2019-04-06 03:08:30
Seoul,KR,37.57,126.98,13.0,90,1013.0,1.5,32,2019-04-06 02:40:00
Maniitsoq,GL,65.42,-52.9,-0.64,80,1004.45,5.72,68,2019-04-06 03:10:30
Guerrero Negro,MX,27.97,-114.04,16.17,92,1016.69,3.87,93,2019-04-06 03:10:30
Lazaro Cardenas,MX,28.39,-105.62,23.0,40,1013.0,4.6,17,2019-04-06 01:44:00
Hammerfest,NO,70.66,23.68,-2.0,8,1018.0,7.7,68,2019-04-06 02:20:00
Raudeberg,NO,61.99,5.14,5.56,12,1013.0,1.0,93,2019-04-06 03:00:08
Ribeira Grande,PT,38.52,-28.7,16.27,76,1022.45,9.02,96,2019-04-06 03:08:27
Palora,EC,-1.7,-77.97,16.97,36,1010.13,0.97,95,2019-04-06 03:10:32
Saldanha,PT,41.42,-6.55,4.87,92,1000.41,5.77,97,2019-04-06 03:10:33
Ahipara,NZ,-35.17,173.16,19.52,64,1016.77,4.27,78,2019-04-06 03:10:33
Carnarvon,ZA,-30.97,22.13,8.47,0,1020.73,4.77,91,2019-04-06 03:06:49
Port Augusta,AU,-32.49,137.76,23.89,75,1022.0,3.6,60,2019-04-06 02:50:51
Pangkalanbuun,ID,-2.68,111.62,29.92,36,1011.73,1.72,90,2019-04-06 03:10:34
Gao,ML,16.28,-0.04,28.22,0,1005.77,5.27,34,2019-04-06 03:10:34
Katsuura,JP,33.93,134.5,20.0,20,1011.0,8.7,45,2019-04-06 03:05:05
La Ronge,CA,55.1,-105.3,-3.0,20,1016.0,1.0,58,2019-04-06 02:00:00
Bethel,US,60.79,-161.76,2.0,1,994.0,8.2,51,2019-04-06 01:56:00
Sao Filipe,CV,14.9,-24.5,21.12,24,1015.89,8.02,99,2019-04-06 03:10:36
Castro,CL,-42.48,-73.76,10.0,90,1021.0,2.1,87,2019-04-06 02:00:00
Beringovskiy,RU,63.05,179.32,-3.34,12,1011.41,2.07,91,2019-04-06 03:10:37
Nhulunbuy,AU,-12.18,136.78,24.0,90,1009.0,3.6,94,2019-04-06 02:30:00
Salamiyah,SY,35.01,37.05,8.92,80,1014.49,1.42,99,2019-04-06 03:10:38
Santa Fe,AR,-31.62,-60.7,18.33,36,1017.0,1.77,66,2019-04-06 03:09:53
Saint-Joseph,FR,43.56,6.97,10.0,90,1005.0,1.5,93,2019-04-06 03:08:04
Vestmannaeyjar,IS,63.44,-20.27,1.92,0,1024.49,5.37,100,2019-04-06 03:10:39
Marawi,PH,8.0,124.29,28.33,48,1012.0,2.68,82,2019-04-06 03:03:34
Sal Rei,CV,16.18,-22.92,21.0,40,1017.0,6.7,68,2019-04-06 02:00:00
Severo-Kurilsk,RU,50.68,156.12,0.62,88,991.77,5.87,95,2019-04-06 03:10:40
Port Lincoln,AU,-34.72,135.86,18.62,8,1022.89,1.97,89,2019-04-06 03:10:41
Lata,IN,30.78,78.62,9.07,56,1013.73,0.82,100,2019-04-06 03:10:41
Huilong,CN,28.89,110.18,20.77,64,1012.33,1.37,79,2019-04-06 03:10:41
Victoria,BN,5.28,115.24,31.0,75,1013.0,2.6,70,2019-04-06 02:30:00
Maku,IR,39.29,44.45,7.0,40,1014.0,1.32,81,2019-04-06 01:51:00
Saint George,GR,39.45,22.34,11.0,90,1007.0,1.27,81,2019-04-06 02:50:00
Lorengau,PG,-2.02,147.27,28.67,0,1009.05,0.82,99,2019-04-06 03:10:43
East London,ZA,-33.02,27.91,18.07,92,1023.45,3.02,100,2019-04-06 03:10:43
Zhangye,CN,38.94,100.46,12.12,8,1010.93,1.87,75,2019-04-06 03:10:44
Geraldton,CA,49.72,-86.95,1.0,90,1015.0,2.1,92,2019-04-06 02:13:00
Hithadhoo,MV,-0.6,73.08,28.72,0,1012.01,2.22,100,2019-04-06 03:08:50
Karacabey,TR,40.21,28.36,9.44,0,1012.0,3.6,100,2019-04-06 03:00:56
Siocon,PH,11.03,124.04,28.67,44,1012.29,3.02,90,2019-04-06 03:10:45
Hobart,AU,-42.88,147.33,19.0,40,1014.0,7.7,39,2019-04-06 03:07:15
Lasa,CY,34.92,32.53,13.0,0,1012.0,1.5,87,2019-04-06 03:01:26
Nuuk,GL,64.17,-51.74,3.0,68,1001.0,9.8,32,2019-04-06 01:50:00
Muntilan,ID,-7.58,110.28,30.0,20,1012.0,3.6,70,2019-04-06 02:30:00
Nantucket,US,41.28,-70.1,3.0,90,1029.0,6.7,74,2019-04-06 03:10:21
The Valley,AI,18.22,-63.06,26.0,40,1020.0,5.7,69,2019-04-06 03:01:56
Charlestown,US,41.38,-71.64,4.0,90,1027.0,3.6,93,2019-04-06 03:10:20
Baneh,IR,35.99,45.88,11.0,75,1015.0,3.6,100,2019-04-06 02:00:00
Timbuktu,ML,16.77,-3.01,27.87,0,1007.73,5.37,24,2019-04-06 03:10:47
Tessalit,ML,20.2,1.01,20.37,0,1009.01,3.42,29,2019-04-06 03:10:48
Saskylakh,RU,71.97,114.09,-9.39,0,1016.17,5.67,86,2019-04-06 03:10:48
Ilulissat,GL,69.22,-51.1,-1.0,0,1009.0,11.3,46,2019-04-06 01:50:00
Aksu,KZ,52.04,76.93,1.0,90,1023.0,6.0,100,2019-04-06 02:30:00
Hermanus,ZA,-34.42,19.24,15.56,0,1015.0,4.92,85,2019-04-06 03:02:11
Barinas,VE,8.64,-70.23,27.37,24,1010.89,3.12,55,2019-04-06 03:10:49
Oktyabrskiy,RU,55.61,37.97,3.0,0,1025.0,1.0,90,2019-04-06 02:58:06
Aklavik,CA,68.22,-135.01,-7.0,5,1014.0,4.1,52,2019-04-06 02:00:00
Izumo,JP,35.37,132.75,17.0,20,1012.0,3.6,42,2019-04-06 02:00:00
Deep River,CA,46.1,-77.49,0.56,90,1019.0,1.5,96,2019-04-06 03:02:09
Akdepe,TM,42.05,59.39,8.0,0,1027.0,2.1,81,2019-04-06 02:30:00
Gamba,CN,28.28,88.52,-6.99,0,1015.37,0.42,98,2019-04-06 03:10:51
Viedma,AR,-40.81,-62.99,18.17,0,1013.53,7.67,32,2019-04-06 03:10:51
Susurluk,TR,39.91,28.16,9.44,0,1011.0,1.42,93,2019-04-06 03:00:56
Aqtobe,KZ,50.28,57.21,0.0,40,1031.0,2.0,87,2019-04-06 02:30:00
Sovetskoye,UA,45.57,34.49,1.67,0,1018.69,4.07,87,2019-04-06 03:10:52
Gumdag,TM,39.2,54.59,15.62,36,1016.29,6.82,79,2019-04-06 03:10:52
Bambous Virieux,MU,-20.34,57.76,26.0,75,1015.0,5.1,83,2019-04-06 03:04:02
Fomboni,KM,-12.28,43.74,29.37,20,1011.89,2.32,100,2019-04-06 03:10:53
Faya,SA,18.39,42.45,17.0,0,1023.0,4.6,82,2019-04-06 02:00:00
Camacha,PT,33.08,-16.33,15.0,40,1018.0,8.7,58,2019-04-06 03:00:00
Vaitape,PF,-16.52,-151.75,28.42,56,1012.61,6.02,100,2019-04-06 03:10:54
Necochea,AR,-38.55,-58.74,11.17,0,1021.17,4.87,84,2019-04-06 03:10:54
Sur,OM,22.57,59.53,27.97,80,1011.89,3.02,76,2019-04-06 03:10:55
High Level,CA,58.52,-117.13,-3.0,90,1011.0,3.1,68,2019-04-06 02:00:00
Sitka,US,37.17,-99.65,17.78,88,1009.0,3.13,63,2019-04-06 03:02:25
Nyurba,RU,63.29,118.35,2.52,0,1019.85,1.97,70,2019-04-06 03:10:55
Coihaique,CL,-45.58,-72.07,12.0,75,1006.0,4.6,66,2019-04-06 02:14:00
Kutum,SD,14.2,24.66,12.82,0,1011.61,2.77,30,2019-04-06 03:10:56
Klaksvik,FO,62.23,-6.59,4.0,48,1018.0,2.6,86,2019-04-06 02:20:00
Los Llanos de Aridane,ES,28.66,-17.92,17.0,40,1020.0,8.7,59,2019-04-06 03:10:05
Sakaiminato,JP,35.55,133.23,17.0,20,1013.0,5.7,77,2019-04-06 02:00:00
Podgornoye,RU,57.79,82.64,2.87,0,1023.25,1.67,58,2019-04-06 03:10:57
Cabo San Lucas,MX,22.89,-109.91,25.0,20,1015.0,5.7,68,2019-04-06 03:02:04
Aljezur,PT,37.31,-8.8,10.56,92,1006.0,0.45,92,2019-04-06 03:07:11
Kokopo,PG,-4.34,152.27,28.37,20,1009.21,2.22,99,2019-04-06 03:10:58
Vite,ES,42.89,-8.54,10.0,75,996.0,4.6,93,2019-04-06 03:10:56
Koygorodok,RU,60.44,51.01,-3.39,0,1030.33,1.52,92,2019-04-06 03:10:59
Noshiro,JP,40.21,140.05,8.0,75,1006.0,7.7,61,2019-04-06 02:00:00
Rabo de Peixe,PT,37.8,-25.58,15.0,75,1022.0,7.7,87,2019-04-06 03:10:04
Namatanai,PG,-3.66,152.44,28.27,32,1009.37,1.72,100,2019-04-06 03:11:00
Chernyshevskiy,RU,63.01,112.47,-0.79,0,1021.01,1.57,71,2019-04-06 03:11:00
Yangambi,CD,0.77,24.47,21.62,64,1008.57,1.42,100,2019-04-06 03:11:00
Lompoc,US,34.64,-120.46,15.0,40,1018.0,3.1,93,2019-04-06 03:10:40
Zhicheng,CN,35.04,112.59,27.42,20,1005.09,1.77,29,2019-04-06 03:11:01
Dhidhdhoo,MV,6.88,73.1,28.97,68,1012.73,2.12,100,2019-04-06 03:11:01
Ilebo,CD,-4.33,20.59,23.27,8,1008.17,0.97,94,2019-04-06 03:11:02
Castlegar,CA,49.32,-117.66,2.52,92,1006.77,0.72,99,2019-04-06 03:11:02
Margate,AU,-43.03,147.26,19.0,40,1014.0,7.7,39,2019-04-06 03:10:15
Nemuro,JP,43.32,145.57,4.0,75,994.0,5.7,60,2019-04-06 02:00:00
Bayshore Gardens,US,27.43,-82.59,24.0,90,1020.0,2.77,88,2019-04-06 03:10:59
Portland,US,45.52,-122.67,11.11,90,1011.0,3.1,71,2019-04-06 03:09:12
Borogontsy,RU,62.67,131.17,3.17,0,1015.49,1.67,54,2019-04-06 03:11:04
Alofi,NU,-19.06,-169.92,28.02,76,1012.73,6.07,96,2019-04-06 03:11:05
Santa Cruz,US,36.97,-122.03,16.11,20,1018.0,1.12,87,2019-04-06 03:11:00
Clyde River,CA,70.47,-68.59,-19.0,90,1017.0,9.8,84,2019-04-06 02:48:00
Ponta do Sol,BR,-20.63,-46.0,19.92,32,1013.25,1.52,96,2019-04-06 03:07:36
San Vicente,SV,13.64,-88.78,28.0,20,1012.0,2.1,78,2019-04-06 03:05:23
Hyeres,FR,43.12,6.14,13.0,90,1004.0,4.6,66,2019-04-06 03:10:53
Yar-Sale,RU,66.83,70.83,-5.44,44,1015.05,10.92,84,2019-04-06 03:11:09
Lavrentiya,RU,65.58,-170.99,-4.99,0,1007.33,2.37,91,2019-04-06 03:11:09
Quesnel,CA,52.98,-122.49,13.0,75,996.0,3.6,43,2019-04-06 02:00:00
Dodoma,TZ,-6.18,35.75,16.92,0,1011.69,1.52,91,2019-04-06 03:11:10
Mantua,IT,45.16,10.79,10.56,40,1005.0,2.1,93,2019-04-06 03:11:03
Miandrivazo,MG,-19.53,45.46,21.02,0,1013.73,1.07,88,2019-04-06 03:11:11
Ketchikan,US,55.34,-131.65,12.0,75,990.0,3.6,81,2019-04-06 02:03:00
Haines Junction,CA,60.75,-137.51,-3.84,76,999.05,0.97,73,2019-04-06 03:11:12
Faanui,PF,-16.48,-151.75,29.32,88,1012.29,6.62,100,2019-04-06 03:11:12
Waingapu,ID,-9.65,120.26,28.92,20,1010.29,3.12,81,2019-04-06 03:11:12
Fortuna,ES,38.18,-1.13,10.56,0,1003.0,3.1,70,2019-04-06 03:09:40
Isangel,VU,-19.55,169.27,29.0,75,1011.0,8.7,70,2019-04-06 02:00:00
Kodiak,US,39.95,-94.76,14.0,1,1015.0,4.6,58,2019-04-06 03:09:10
Concepcion,CO,9.56,-73.66,30.92,100,1009.69,1.12,53,2019-04-06 03:11:13
Codrington,AU,-28.95,153.24,27.78,40,1022.0,2.1,57,2019-04-06 03:05:11
Wazirabad,PK,32.44,74.12,22.0,40,1010.0,2.02,83,2019-04-06 02:00:00
Bubaque,GW,11.28,-15.83,27.52,0,1008.81,7.17,88,2019-04-06 03:11:14
Along,IN,28.17,94.8,19.37,0,1015.01,0.77,60,2019-04-06 03:11:15
Salcininkai,LT,54.3,25.38,2.22,0,1020.0,3.6,51,2019-04-06 03:10:53
Georgetown,GY,6.8,-58.16,24.0,0,1014.0,2.1,88,2019-04-06 02:00:00
Soyo,AO,-6.13,12.37,23.47,92,1010.05,0.87,100,2019-04-06 03:11:15
Pital,CO,2.27,-75.81,17.37,48,1011.01,0.97,97,2019-04-06 03:11:16
Mahebourg,MU,-20.41,57.7,26.0,75,1015.0,5.1,83,2019-04-06 03:09:01
Coos Bay,US,43.37,-124.22,12.22,1,1013.0,5.1,71,2019-04-06 03:05:22
Butterworth,MY,5.4,100.37,30.0,75,1012.0,1.5,79,2019-04-06 02:30:00
Katherine,AU,-14.47,132.26,32.0,40,1012.0,7.2,52,2019-04-06 02:30:00
Vila Franca do Campo,PT,37.72,-25.43,15.0,75,1022.0,7.2,82,2019-04-06 03:07:04
Paamiut,GL,61.99,-49.67,1.32,36,997.05,10.57,87,2019-04-06 03:08:10
Pansemal,IN,21.66,74.7,25.92,0,1012.29,2.62,61,2019-04-06 03:11:19
Fuerte Olimpo,BR,-21.04,-57.87,16.92,92,1015.97,7.72,96,2019-04-06 03:11:19
Goderich,CA,43.74,-81.71,3.89,0,1019.0,2.24,92,2019-04-06 03:08:37
Lidzbark Warminski,PL,54.13,20.58,5.27,0,1016.21,6.12,67,2019-04-06 03:11:19
