City,Country,Latitude,Longitude,Maximum_Temp,Cloudiness,Pressure,Windspeed,Humidity,Date
Yenagoa,NG,4.92,6.26,25.07,36,1008.69,2.92,93,2019-04-06 03:11:20
Svolvaer,NO,68.23,14.57,-2.22,0,1023.0,0.89,68,2019-04-06 03:01:55
Gweta,BW,-20.21,25.26,18.92,32,1011.93,4.02,75,2019-04-06 03:11:20
Alice Springs,AU,-23.7,133.88,30.0,0,1020.0,5.7,28,2019-04-06 02:30:00
Airai,TL,-8.93,125.41,24.92,92,1008.37,1.32,73,2019-04-06 03:11:21
Cabedelo,BR,-6.97,-34.84,25.0,20,1014.0,1.5,94,2019-04-06 02:00:00
Narsaq,GL,60.91,-46.05,3.0,75,1000.0,11.8,44,2019-04-06 01:50:00
Puerto Ayora,EC,-0.74,-90.35,24.44,68,1012.0,2.57,96,2019-04-06 03:01:38
Itoman,JP,26.12,127.67,25.0,20,1014.0,3.1,64,2019-04-06 02:52:27
Oksfjord,NO,70.24,22.35,-2.0,0,1018.0,7.7,68,2019-04-06 03:10:07
Heiligenhafen,DE,54.37,10.98,6.11,48,1011.0,4.32,93,2019-04-06 03:10:08
Guanare,VE,9.04,-69.74,28.47,68,1010.97,3.47,43,2019-04-06 03:11:23
Yinchuan,CN,38.48,106.21,19.52,0,1006.61,2.42,26,2019-04-06 03:11:24
Isakly,RU,54.13,51.53,-0.14,92,1030.33,3.42,99,2019-04-06 03:11:24
Dubbo,AU,-32.25,148.6,29.0,12,1021.0,6.7,28,2019-04-06 02:30:00
Belyy Yar,RU,53.6,91.39,3.0,0,1017.0,3.0,34,2019-04-06 02:30:00
Longyearbyen,NO,78.22,15.63,-8.0,90,1005.0,1.0,72,2019-04-06 01:50:00
Sovetskiy,RU,56.76,48.47,-3.39,68,1030.33,1.97,85,2019-04-06 03:11:25
Port Moresby,PG,-9.47,147.16,31.0,40,1011.0,4.1,70,2019-04-06 02:00:00
Nizhniy Kuranakh,RU,58.84,125.49,1.37,80,1017.33,2.62,61,2019-04-06 03:11:26
Kirakira,SB,-10.46,161.92,28.82,32,1009.57,2.52,100,2019-04-06 03:11:26
Victor Harbor,AU,-35.55,138.62,21.11,20,1022.0,5.1,52,2019-04-06 03:10:45
Broome,GB,52.47,1.45,7.22,48,1006.0,3.1,93,2019-04-06 03:11:24
Kailua,US,21.39,-157.74,28.0,20,1016.0,3.6,74,2019-04-06 03:07:04
Bartlett,US,41.89,-98.55,17.0,1,1011.0,5.1,67,2019-04-06 03:08:11
Mukhen,RU,48.19,136.14,2.27,88,1000.45,2.12,58,2019-04-06 03:11:28
Grand Gaube,MU,-20.01,57.66,26.0,75,1015.0,5.1,83,2019-04-06 03:09:01
San Pablo,PH,14.07,121.33,33.89,20,1014.0,3.1,52,2019-04-06 03:02:27
Yerbogachen,RU,61.28,108.01,-0.59,0,1023.21,1.72,56,2019-04-06 03:11:30
Zenzeli,RU,45.92,47.05,3.67,0,1021.45,4.62,84,2019-04-06 03:11:31
Kondinskoye,RU,59.65,67.41,-0.39,24,1026.37,3.02,85,2019-04-06 03:11:31
Kavieng,PG,-2.57,150.8,29.12,48,1009.45,1.97,100,2019-04-06 03:10:18
Baruun-Urt,MN,46.68,113.28,-0.64,0,1019.37,4.92,30,2019-04-06 03:11:32
Bunia,CD,1.56,30.25,17.02,0,1007.77,1.22,88,2019-04-06 03:11:32
Jiazi,CN,19.61,110.49,27.0,40,1014.0,4.0,78,2019-04-06 02:00:00
Besskorbnaya,RU,44.65,41.31,2.78,0,1019.0,2.68,8,2019-04-06 03:01:03
Yumen,CN,40.29,97.04,15.97,0,1011.73,3.02,30,2019-04-06 03:11:33
Hualmay,PE,-11.1,-77.61,18.02,32,1014.57,1.62,97,2019-04-06 03:11:21
Hirara,JP,24.8,125.28,24.0,20,1014.0,2.6,73,2019-04-06 02:00:00
Kirensk,RU,57.78,108.12,0.12,24,1024.33,1.52,56,2019-04-06 03:11:34
Nemencine,LT,54.85,25.48,2.22,0,1020.0,3.6,51,2019-04-06 03:06:53
Shelburne,CA,44.08,-80.2,3.0,90,1019.0,1.5,93,2019-04-06 03:11:03
Le Port,FR,42.87,1.37,8.89,92,998.0,1.34,91,2019-04-06 03:10:10
Nanortalik,GL,60.14,-45.24,0.12,88,998.77,11.87,92,2019-04-06 03:07:19
Tabuk,PH,17.41,121.44,25.37,12,1013.69,0.87,77,2019-04-06 03:11:36
Waitati,NZ,-45.75,170.57,12.78,0,1028.0,2.68,47,2019-04-06 03:06:18
Kjollefjord,NO,70.95,27.35,-7.69,0,1019.05,3.32,70,2019-04-06 03:09:28
Oga,NG,8.18,5.65,26.82,0,1007.05,5.57,66,2019-04-06 03:11:38
Katangli,RU,51.71,143.23,0.07,92,995.61,7.17,96,2019-04-06 03:11:38
Wright,US,43.75,-105.48,13.0,1,1007.0,5.1,47,2019-04-06 03:04:44
Pisco,PE,-13.71,-76.2,22.0,0,1013.0,1.0,78,2019-04-06 02:00:00
Ust-Maya,RU,60.42,134.54,2.52,20,1013.73,1.82,60,2019-04-06 03:11:39
Mackay,CA,53.65,-115.58,5.0,75,1004.0,4.1,75,2019-04-06 02:00:00
Coffs Harbour,AU,-30.3,153.13,29.44,0,1021.0,6.2,65,2019-04-06 03:08:40
Rogatica,BA,43.8,19.0,8.0,75,1007.0,2.1,100,2019-04-06 03:00:00
Hwange,ZW,-18.35,26.5,16.77,0,1011.13,3.32,54,2019-04-06 03:11:40
Ponta Delgada,PT,37.73,-25.67,15.0,75,1022.0,7.7,87,2019-04-06 03:11:04
Brae,GB,60.4,-1.35,7.0,92,1015.0,1.5,93,2019-04-06 02:50:00
Birin,SY,35.01,36.67,6.42,20,1014.33,1.27,85,2019-04-06 03:11:41
Hude,DE,54.39,9.21,7.22,76,1009.0,2.1,93,2019-04-06 03:11:31
Teahupoo,PF,-17.83,-149.27,32.0,40,1012.0,3.6,62,2019-04-06 02:52:23
Ola,RU,59.58,151.3,2.27,0,1010.65,9.42,82,2019-04-06 03:11:42
Ornskoldsvik,SE,63.29,18.72,0.0,90,1022.0,2.1,96,2019-04-06 02:20:00
Dingle,PH,11.0,122.67,30.77,24,1012.01,4.32,63,2019-04-06 03:10:49
Muzaffarabad,PK,34.37,73.47,14.47,32,1013.61,1.27,86,2019-04-06 03:11:43
Wakema,MM,16.6,95.18,32.17,0,1011.41,2.87,53,2019-04-06 03:11:43
Frutal,BR,-20.02,-48.93,23.17,36,1012.33,2.17,88,2019-04-06 03:11:43
Tavricheskoye,RU,54.59,73.64,1.0,0,1027.0,1.0,69,2019-04-06 02:30:00
Saint Anthony,US,43.97,-111.68,8.33,90,1012.0,5.7,75,2019-04-06 03:10:06
Vardo,US,39.62,-77.74,6.11,90,1024.0,2.6,100,2019-04-06 03:07:06
La Romana,DO,18.43,-68.97,24.0,75,1019.0,4.1,100,2019-04-06 02:01:00
Lima,PE,-12.06,-77.04,22.22,40,1014.0,4.1,88,2019-04-06 03:02:10
Jijiga,ET,9.35,42.8,12.02,12,1012.33,1.27,84,2019-04-06 03:11:45
Mumbwa,ZM,-14.99,27.06,19.57,36,1011.37,4.22,76,2019-04-06 03:11:45
Meadow Lake,CA,54.13,-108.44,1.12,36,1014.37,2.72,71,2019-04-06 03:11:46
Baturaja,ID,-4.12,104.17,29.17,0,1011.89,2.02,84,2019-04-06 03:11:46
Flagstaff,US,35.2,-111.65,9.44,1,1016.0,4.6,49,2019-04-06 03:08:54
Bara,NG,10.41,10.6,23.52,20,1004.85,1.27,57,2019-04-06 03:11:47
Kita,JP,35.76,139.74,22.22,0,1008.0,2.1,42,2019-04-06 03:07:41
Guhagar,IN,17.48,73.19,25.92,0,1013.77,2.22,95,2019-04-06 03:11:48
Quatre Cocos,MU,-20.21,57.76,26.0,75,1015.0,5.1,83,2019-04-06 03:09:01
Inuvik,CA,68.36,-133.71,-7.0,5,1014.0,4.1,52,2019-04-06 02:00:00
Charters Towers,AU,-20.07,146.27,26.12,20,1016.57,5.37,75,2019-04-06 03:11:49
Sistranda,NO,63.73,8.83,3.0,0,1013.0,8.7,64,2019-04-06 03:09:44
Blytheville,US,35.93,-89.92,16.0,75,1019.0,1.97,93,2019-04-06 03:11:38
Yucca Valley,US,34.12,-116.41,22.0,1,1015.0,8.2,36,2019-04-06 03:11:09
Dunedin,NZ,-45.87,170.5,12.78,0,1028.0,2.68,47,2019-04-06 03:06:18
Glace Bay,CA,46.2,-59.96,0.56,5,1024.0,4.6,42,2019-04-06 03:11:07
Champerico,MX,16.38,-93.6,29.0,40,1012.0,7.2,48,2019-04-06 01:40:00
Montijo,PT,38.71,-8.97,11.11,20,1007.0,3.1,87,2019-04-06 03:10:43
Samarai,PG,-10.62,150.67,25.72,92,1010.45,1.82,100,2019-04-06 03:11:51
Vondrozo,MG,-22.82,47.32,20.62,92,1017.01,1.87,98,2019-04-06 03:11:52
Porto Novo,BR,-23.68,-45.44,24.0,0,1016.0,0.32,83,2019-04-06 02:00:00
Baykit,RU,61.68,96.39,-4.14,68,1019.61,3.32,78,2019-04-06 03:11:52
Pacific Grove,US,36.62,-121.92,16.0,1,1018.0,1.5,82,2019-04-06 03:10:58
Muyezerskiy,RU,63.93,31.65,-3.64,8,1030.89,1.62,79,2019-04-06 03:11:53
Nouakchott,MR,18.08,-15.98,20.0,24,1014.0,8.2,60,2019-04-06 02:30:00
Sabang,PH,13.72,123.58,27.87,64,1013.73,2.62,84,2019-04-06 03:10:27
Awjilah,LY,29.14,21.3,18.57,92,1007.41,7.27,92,2019-04-06 03:10:01
Itaituba,BR,-4.26,-55.99,26.17,36,1012.01,1.37,84,2019-04-06 03:11:33
Kiruna,SE,67.86,20.23,-3.0,0,1020.0,11.3,73,2019-04-06 02:20:00
Deputatskiy,RU,69.3,139.9,-7.39,48,1017.97,1.67,87,2019-04-06 03:06:59
Ostrovnoy,RU,68.05,39.51,-6.24,0,1028.01,8.27,84,2019-04-06 03:07:34
Slave Lake,CA,55.28,-114.77,5.0,90,1006.0,5.7,65,2019-04-06 02:00:00
Goma,CD,-1.67,29.23,13.02,20,1009.13,1.17,97,2019-04-06 03:11:55
Fare,PF,-16.7,-151.02,29.02,92,1012.69,6.37,99,2019-04-06 03:11:09
Vao,EE,59.1,26.19,-1.24,20,1027.41,2.57,73,2019-04-06 03:11:55
Hobyo,SO,5.35,48.53,26.72,24,1012.21,4.17,82,2019-04-06 03:11:56
Bathsheba,BB,13.22,-59.52,25.0,75,1017.0,10.3,88,2019-04-06 02:00:00
Vechta,DE,52.73,8.29,8.0,75,1008.0,3.1,93,2019-04-06 03:11:37
Gewane,ET,10.16,40.66,19.22,64,1012.37,1.17,96,2019-04-06 03:11:56
Tumaco,CO,1.8,-78.82,25.12,76,1013.53,2.07,90,2019-04-06 03:10:31
Olinda,EC,-2.03,-79.75,28.0,75,1012.0,1.5,74,2019-04-06 03:10:21
Srednekolymsk,RU,67.46,153.71,-4.54,0,1020.17,1.52,67,2019-04-06 03:11:57
Elko,US,40.83,-115.76,7.0,90,1013.0,1.5,75,2019-04-06 03:05:40
Berlevag,NO,70.86,29.09,-5.29,0,1018.85,3.77,100,2019-04-06 03:11:58
Meulaboh,ID,4.14,96.13,29.12,0,1011.53,1.07,99,2019-04-06 03:11:31
Belaya Gora,RU,68.54,146.19,-3.39,32,1019.89,2.32,100,2019-04-06 03:11:45
Inirida,CO,3.87,-67.92,25.77,0,1008.89,0.62,85,2019-04-06 03:11:58
Loukhi,RU,66.08,33.04,-6.39,0,1030.25,1.52,86,2019-04-06 03:11:59
Porto Velho,BR,-8.75,-63.87,26.0,40,1011.0,1.0,88,2019-04-06 02:00:00
Forestville,CA,48.74,-69.09,-1.0,40,1019.0,2.6,39,2019-04-06 02:00:00
Key West,US,47.93,-96.78,2.78,90,1017.0,2.1,100,2019-04-06 03:08:36
Whyalla,AU,-33.04,137.58,21.0,75,1022.0,3.6,60,2019-04-06 02:00:00
Yulara,AU,-25.24,130.99,30.0,0,1020.0,5.7,23,2019-04-06 02:00:00
Alta Floresta,BR,-9.87,-56.08,24.62,92,1012.49,0.92,93,2019-04-06 03:12:01
Northam,GB,51.04,-4.21,8.89,20,1001.0,1.79,81,2019-04-06 03:11:22
Tateyama,JP,36.66,137.31,18.33,20,1012.0,1.5,28,2019-04-06 03:10:13
Ankang,CN,32.73,108.99,21.37,0,1009.69,1.62,51,2019-04-06 03:12:02
Anadyr,RU,64.73,177.51,-10.0,0,1011.0,3.0,78,2019-04-06 02:52:27
Methoni,GR,36.82,21.7,13.33,90,999.0,14.42,93,2019-04-06 03:10:49
Hovd,NO,63.83,10.7,3.0,0,1015.0,7.2,59,2019-04-06 03:11:05
Maldonado,UY,-34.91,-54.96,16.0,75,1021.0,3.1,77,2019-04-06 02:00:00
Uyovu,TZ,-3.28,31.53,17.37,56,1010.13,2.52,97,2019-04-06 03:12:03
Opuwo,NA,-18.06,13.84,14.02,0,1010.33,1.57,66,2019-04-06 03:12:03
Dothan,US,31.22,-85.39,20.0,90,1018.0,1.52,100,2019-04-06 03:08:49
Gambela,ET,8.25,34.59,21.27,88,1008.61,1.42,66,2019-04-06 03:12:04
Tomra,NO,62.59,6.93,6.0,44,1012.0,1.5,86,2019-04-06 03:01:15
Egvekinot,RU,66.32,-179.17,-2.74,24,1011.29,1.47,89,2019-04-06 03:08:15
Araouane,ML,18.9,-3.53,21.92,0,1010.29,4.97,27,2019-04-06 03:12:05
Iskateley,RU,67.68,53.15,-4.74,76,1025.29,8.92,91,2019-04-06 03:12:06
Uhlove,UA,44.82,33.6,3.37,0,1017.41,4.97,97,2019-04-06 03:12:06
Kasongo,CD,-4.43,26.67,20.77,76,1009.69,1.27,98,2019-04-06 03:12:06
Dogondoutchi,NE,13.64,4.03,22.52,0,1004.41,1.27,59,2019-04-06 03:08:03
Santiago Tuxtla,MX,18.47,-95.3,31.11,0,1003.0,1.87,53,2019-04-06 02:08:01
Jucuaran,SV,13.25,-88.25,27.62,80,1012.17,3.57,92,2019-04-06 03:12:08
Mitu,IR,36.2,46.09,4.92,88,1014.29,1.42,93,2019-04-06 03:12:08
Zhanaozen,KZ,43.35,52.85,8.67,12,1023.17,6.27,66,2019-04-06 03:12:08
Carutapera,BR,-1.2,-46.02,24.47,92,1013.85,3.32,99,2019-04-06 03:10:44
Wum,CM,6.39,10.08,17.67,0,1007.97,1.02,97,2019-04-06 03:12:09
Sarkand,KZ,45.41,79.91,11.67,24,1021.89,6.12,87,2019-04-06 03:12:09
Griffith,AU,-34.29,146.06,27.0,40,1019.0,7.7,34,2019-04-06 03:00:17
Birao,CF,10.3,22.78,17.27,0,1007.81,1.97,40,2019-04-06 03:12:10
Sayyan,YE,15.17,44.32,6.57,0,1011.85,0.62,82,2019-04-06 03:12:10
Belmonte,PT,40.36,-7.35,5.56,92,1004.0,2.68,89,2019-04-06 03:00:15
Derzhavinsk,KZ,51.1,66.31,1.62,0,1031.33,3.32,93,2019-04-06 03:12:11
Iracoubo,GF,5.48,-53.21,25.77,76,1014.61,2.77,75,2019-04-06 03:12:11
Chara,GR,39.42,22.43,11.0,90,1007.0,1.27,81,2019-04-06 02:50:00
Parauna,ID,-3.82,122.09,28.17,12,1009.57,1.02,79,2019-04-06 03:12:12
Vestmanna,FO,62.16,-7.17,4.0,56,1018.0,2.6,86,2019-04-06 02:20:00
Wexford,US,40.63,-80.06,9.44,90,1021.0,2.6,93,2019-04-06 03:12:11
Sibolga,ID,1.74,98.78,25.17,48,1011.89,0.62,91,2019-04-06 03:08:04
Xifeng,CN,42.73,124.72,8.02,88,1011.73,5.17,41,2019-04-06 03:12:13
Vilyuysk,RU,63.75,121.63,3.72,0,1019.17,1.62,54,2019-04-06 03:12:13
Tabas,IR,33.6,56.92,19.0,92,1014.0,2.1,34,2019-04-06 02:00:00
Rafraf,TN,37.19,10.18,9.0,40,1006.0,1.0,70,2019-04-06 02:30:00
Senahu,GT,15.42,-89.82,21.77,92,1013.21,1.22,81,2019-04-06 03:12:15
Maragogi,BR,-9.01,-35.22,26.37,100,1013.61,2.12,86,2019-04-06 03:08:51
Grindavik,IS,63.84,-22.43,2.78,75,1024.0,2.6,86,2019-04-06 03:07:00
Biloela,AU,-24.4,150.51,28.02,0,1019.29,3.67,43,2019-04-06 03:12:15
Genhe,CN,50.78,121.52,0.57,12,1008.77,4.12,70,2019-04-06 03:12:16
Bida,NG,9.08,6.02,27.82,0,1006.53,3.77,64,2019-04-06 03:09:56
Lagos,NG,6.46,3.39,28.0,20,1010.0,1.5,88,2019-04-06 02:00:00
Port Keats,AU,-14.25,129.55,29.37,36,1010.29,8.52,83,2019-04-06 03:12:16
Ossora,RU,59.24,163.07,-0.74,68,1013.45,5.12,97,2019-04-06 03:11:47
Flin Flon,CA,54.77,-101.88,-4.89,32,1019.57,1.32,66,2019-04-06 03:12:17
Redmond,US,47.67,-122.12,10.56,40,1009.0,3.6,61,2019-04-06 03:11:34
Chicla,PE,-11.71,-76.27,2.37,12,1013.61,0.57,93,2019-04-06 03:12:17
Suar,IN,29.03,79.05,23.92,36,1010.61,6.97,68,2019-04-06 03:11:16
Kieta,PG,-6.22,155.63,28.52,56,1009.49,2.42,94,2019-04-06 03:12:18
Blantyre,MW,-15.79,35.0,18.37,24,1012.97,1.17,79,2019-04-06 03:12:18
Maceio,BR,-9.67,-35.74,24.0,40,1014.0,1.5,94,2019-04-06 03:00:00
Omboue,GA,-1.57,9.26,27.47,24,1008.73,1.62,100,2019-04-06 03:12:19
Aktau,KZ,43.65,51.16,7.0,0,1021.0,6.0,81,2019-04-06 02:30:00
Sisimiut,GL,66.94,-53.67,-7.14,44,1005.69,2.17,91,2019-04-06 03:12:19
Limbang,BN,4.75,115.01,31.0,75,1013.0,2.6,74,2019-04-06 02:30:00
Suhl,DE,50.61,10.69,7.22,75,1006.0,3.1,100,2019-04-06 03:12:10
Dukat,RS,42.44,22.31,8.89,88,946.0,1.27,69,2019-04-06 03:10:01
Port Blair,IN,11.67,92.75,28.67,0,1012.45,2.57,100,2019-04-06 03:12:20
Ashdod,IL,31.8,34.65,14.0,76,1013.0,1.5,87,2019-04-06 03:11:08
Cabanas,ES,43.42,-8.16,8.33,92,996.0,3.1,93,2019-04-06 03:10:05
Smithers,CA,54.78,-127.17,10.0,90,993.0,2.6,61,2019-04-06 02:00:00
Cortes,PH,9.28,126.19,26.12,80,1011.89,1.52,95,2019-04-06 03:12:22
Altensteig,DE,48.59,8.61,4.44,90,1004.0,1.07,100,2019-04-06 03:12:10
Khorinsk,RU,52.16,109.78,-0.74,0,1021.77,1.87,30,2019-04-06 03:12:23
Wanning,AT,48.64,13.53,8.33,75,1005.0,1.5,87,2019-04-06 03:10:37
Bonavista,CA,48.65,-53.11,-3.33,0,1012.0,7.15,71,2019-04-06 03:03:36
Asyut,EG,27.18,31.19,13.0,0,1013.0,5.1,54,2019-04-06 02:00:00
Paka,HR,45.29,18.06,4.0,40,1007.0,2.1,100,2019-04-06 02:30:00
Yaan,NG,7.38,8.57,26.52,8,1007.81,4.97,80,2019-04-06 03:12:24
Jalingo,NG,10.21,12.82,23.27,20,1004.89,2.02,42,2019-04-06 03:12:24
Mareeba,AU,-16.99,145.42,27.0,75,1015.0,4.6,78,2019-04-06 03:08:19
Jiexiu,CN,37.02,111.92,20.97,36,1004.73,3.87,46,2019-04-06 03:12:25
Port Macquarie,AU,-31.43,152.91,29.44,0,1021.0,3.1,50,2019-04-06 03:10:04
Dzaoudzi,YT,-12.79,45.27,28.0,0,1012.0,2.6,83,2019-04-06 02:30:00
Berezovka,RU,57.6,57.31,-6.64,0,1031.33,1.17,65,2019-04-06 03:12:26
Bowling Green,US,36.99,-86.44,14.0,90,1020.0,1.02,82,2019-04-06 03:08:21
Naivasha,KE,-0.72,36.43,13.33,68,1010.0,0.89,86,2019-04-06 03:01:32
North Platte,US,41.12,-100.77,14.44,1,1007.0,5.47,81,2019-04-06 03:10:03
Langarud,IR,37.2,50.15,13.0,90,1017.0,1.77,93,2019-04-06 02:30:00
Panjab,AF,34.38,67.02,-1.19,0,1020.45,1.07,89,2019-04-06 03:12:28
Westport,IE,53.8,-9.52,7.22,92,1004.0,8.05,84,2019-04-06 03:08:12
Sao Jose da Coroa Grande,BR,-8.9,-35.15,26.37,100,1013.61,2.12,86,2019-04-06 03:12:28
Fort Myers Beach,US,26.45,-81.95,24.0,1,1020.0,3.02,94,2019-04-06 03:06:05
Kumluca,TR,36.37,30.29,3.67,80,1013.41,0.42,98,2019-04-06 03:12:29
Matara,PE,-13.74,-72.9,1.17,0,1011.33,0.67,76,2019-04-06 03:12:29
Mogadishu,SO,2.04,45.34,27.97,0,1011.33,6.47,100,2019-04-06 03:07:32
Synya,RU,65.37,58.04,-3.59,80,1029.45,2.87,83,2019-04-06 03:12:30
Waipawa,NZ,-39.94,176.59,12.78,92,1022.0,2.68,73,2019-04-06 02:56:17
Vilhena,BR,-12.74,-60.15,20.72,76,1013.89,1.97,98,2019-04-06 03:07:38
Lapa,BR,-25.77,-49.72,20.56,90,1017.0,3.1,100,2019-04-06 03:06:42
Ravar,IR,31.27,56.81,14.42,56,1013.53,1.52,39,2019-04-06 03:12:31
Orlik,RU,52.51,99.83,-5.89,20,1019.25,1.17,75,2019-04-06 03:12:31
Cap Malheureux,MU,-19.98,57.61,26.0,75,1015.0,5.1,83,2019-04-06 03:04:02
Poros,TR,40.9,26.22,6.0,20,1010.0,4.1,93,2019-04-06 02:50:00
Tromso,NO,69.65,18.96,-1.0,0,1021.0,6.2,54,2019-04-06 02:20:00
Syracuse,US,43.05,-76.15,5.0,90,1021.0,4.6,86,2019-04-06 03:08:33
San Cristobal,EC,-0.39,-78.55,14.0,75,1028.0,1.5,93,2019-04-06 03:02:43
Huarmey,PE,-10.07,-78.15,16.87,0,1014.13,1.42,93,2019-04-06 03:12:33
Rome,IT,41.89,12.48,8.33,0,1005.0,1.5,87,2019-04-06 03:11:14
Muncar,ID,-8.43,114.34,27.92,36,1011.53,1.32,92,2019-04-06 03:12:34
Pahalgam,IN,34.03,75.33,-4.74,88,1015.73,0.52,81,2019-04-06 03:09:06
Okhotsk,RU,59.36,143.24,2.52,88,1011.69,2.67,81,2019-04-06 03:12:35
Khani,GE,41.96,42.96,6.0,40,1014.0,1.0,93,2019-04-06 02:30:00
Rio Bravo,GT,14.4,-91.32,12.78,20,1011.0,0.62,97,2019-04-06 03:03:33
East Foothills,US,37.38,-121.82,17.0,75,1017.0,1.12,76,2019-04-06 03:07:19
Kalmunai,LK,7.42,81.82,28.42,0,1012.81,1.87,77,2019-04-06 03:11:14
Pangnirtung,CA,66.15,-65.72,-7.0,90,1003.0,6.2,62,2019-04-06 02:49:00
Merauke,ID,-8.49,140.4,29.07,24,1009.49,3.72,97,2019-04-06 03:12:36
Boshnyakovo,RU,49.65,142.17,-1.04,92,994.21,6.32,87,2019-04-06 03:12:36
Beira,ES,43.2,-8.36,10.0,92,996.0,3.1,93,2019-04-06 03:11:55
Newport,GB,51.59,-3.0,8.33,24,1003.0,3.1,87,2019-04-06 03:08:12
Florianopolis,BR,-27.6,-48.55,23.33,75,1014.0,3.6,78,2019-04-06 03:00:26
Cayenne,GF,4.94,-52.33,24.0,100,1015.0,1.0,94,2019-04-06 02:30:00
Banda Aceh,ID,5.56,95.32,29.87,0,1011.61,1.22,74,2019-04-06 03:08:33
Zhigansk,RU,66.77,123.37,0.32,44,1017.97,2.32,70,2019-04-06 03:12:38
Swift Current,CA,50.29,-107.8,5.0,90,1009.0,6.7,80,2019-04-06 02:00:00
Umm Lajj,SA,25.02,37.27,15.12,0,1011.77,1.32,100,2019-04-06 03:12:39
Bikin,RU,46.82,134.25,4.02,88,1001.73,1.52,62,2019-04-06 03:12:39
Teguise,ES,29.06,-13.56,16.0,20,1018.0,4.6,67,2019-04-06 02:30:00
Toledo,PH,10.38,123.64,28.0,75,1014.0,4.1,78,2019-04-06 02:00:00
Juneau,US,58.3,-134.42,6.0,90,994.0,3.1,86,2019-04-06 02:41:00
Mutis,CO,6.23,-77.4,23.67,8,1012.41,1.12,100,2019-04-06 03:12:41
Lucena,PH,13.93,121.61,31.67,8,1012.0,1.34,64,2019-04-06 03:00:17
Caluquembe,AO,-13.78,14.68,14.17,0,1009.89,0.67,88,2019-04-06 03:12:41
Upata,VE,8.02,-62.41,22.72,0,1013.49,4.67,59,2019-04-06 03:12:42
Jamalpur,BD,24.93,89.95,22.62,92,1012.93,2.52,95,2019-04-06 03:12:42
Taitung,TW,22.76,121.15,25.0,75,1016.0,2.1,78,2019-04-06 02:30:00
Pochutla,MX,15.74,-96.47,28.0,75,1015.0,5.92,69,2019-04-06 02:46:48
Preobrazheniye,RU,42.9,133.91,7.02,44,1004.01,2.32,44,2019-04-06 03:12:43
Shelui,TZ,-4.36,34.2,16.57,0,1010.45,1.32,90,2019-04-06 03:08:27
Lensk,RU,60.71,114.91,0.17,0,1022.53,1.82,68,2019-04-06 03:12:44
Kem,UG,2.68,33.77,21.77,0,1008.05,5.02,61,2019-04-06 03:12:44
Constitucion,MX,23.99,-104.67,19.0,75,1021.0,6.7,15,2019-04-06 03:10:16
Plettenberg Bay,ZA,-34.05,23.37,16.17,0,1021.93,5.27,100,2019-04-06 03:12:44
Suntar,RU,62.16,117.65,2.37,0,1020.57,2.42,64,2019-04-06 03:12:45
Puerto Maldonado,PE,-12.59,-69.19,22.37,80,1011.49,1.07,97,2019-04-06 03:12:45
Breves,BR,-1.68,-50.48,25.32,12,1013.09,3.07,94,2019-04-06 03:12:45
Chon Daen,TH,16.19,100.86,29.0,56,1013.0,1.0,54,2019-04-06 02:00:00
Kargasok,RU,59.06,80.87,2.17,0,1021.21,2.52,66,2019-04-06 03:12:46
Hervey Bay,AU,-25.3,152.85,28.89,64,1020.0,6.7,45,2019-04-06 03:10:33
